Time		    CASE	den	een	dex	eex	dut_led	exp_led
[4755000]		PASS:	0	0	0	0	1111	1111
[4765000]		PASS:	0	0	0	0	1111	1111
[4775000]		PASS:	0	0	0	0	1111	1111
[4785000]		PASS:	0	0	0	0	1111	1111
[4795000]		PASS:	0	0	0	0	1111	1111
[4805000]		PASS:	0	0	0	0	1111	1111
[4815000]		PASS:	0	0	0	0	1111	1111
[4825000]		PASS:	0	0	0	0	1111	1111
[4835000]		PASS:	0	0	0	0	1111	1111
[4845000]		PASS:	0	0	0	0	1111	1111
[4855000]		PASS:	0	0	0	0	1111	1111
[4865000]		PASS:	0	0	0	0	1111	1111
[4875000]		PASS:	1	1	0	0	1111	1111
[4885000]		PASS:	0	0	0	0	1111	1111
[4895000]		PASS:	0	0	0	0	1111	1111
[4905000]		PASS:	0	0	0	0	1111	1111
[4915000]		PASS:	0	0	0	0	1111	1111
[4925000]		PASS:	0	0	0	0	1111	1111
[4935000]		PASS:	0	0	0	0	1111	1111
[4945000]		PASS:	0	0	0	0	1111	1111
[4955000]		PASS:	0	0	0	0	1111	1111
[4965000]		PASS:	0	0	0	0	1111	1111
[4975000]		PASS:	0	0	0	0	1111	1111
[4985000]		PASS:	0	0	0	0	1111	1111
[4995000]		PASS:	0	0	0	0	1111	1111
[5005000]		PASS:	0	0	0	0	1111	1111
[5015000]		PASS:	0	0	0	0	1111	1111
[5025000]		PASS:	0	0	0	0	1111	1111
[5035000]		PASS:	1	1	0	0	1111	1111
[5045000]		PASS:	0	0	0	0	1111	1111
[5055000]		PASS:	0	0	0	0	1111	1111
[5065000]		PASS:	0	0	0	0	1111	1111
[5075000]		PASS:	0	0	0	0	1111	1111
[5085000]		PASS:	0	0	0	0	1111	1111
[5095000]		PASS:	0	0	0	0	1111	1111
[5105000]		PASS:	0	0	0	0	1111	1111
[5115000]		PASS:	0	0	0	0	1111	1111
[5125000]		PASS:	0	0	0	0	1111	1111
[5135000]		PASS:	0	0	0	0	1111	1111
[5145000]		PASS:	0	0	0	0	1111	1111
[5155000]		PASS:	0	0	0	0	1111	1111
[5165000]		PASS:	0	0	0	0	1111	1111
[5175000]		PASS:	0	0	0	0	1111	1111
[5185000]		PASS:	0	0	0	0	1111	1111
[5195000]		PASS:	0	0	0	0	1111	1111
[5205000]		PASS:	1	1	0	0	1111	1111
[5215000]		PASS:	0	0	0	0	1111	1111
[5225000]		PASS:	0	0	0	0	1111	1111
[5235000]		PASS:	0	0	0	0	1111	1111
[5245000]		PASS:	0	0	0	0	1111	1111
[5255000]		PASS:	0	0	0	0	1111	1111
[5265000]		PASS:	0	0	0	0	1111	1111
[5275000]		PASS:	0	0	0	0	1111	1111
[5285000]		PASS:	0	0	0	0	1111	1111
[5295000]		PASS:	0	0	0	0	1111	1111
[5305000]		PASS:	0	0	0	0	1111	1111
[5315000]		PASS:	0	0	0	0	1111	1111
[5325000]		PASS:	0	0	0	0	1111	1111
[5335000]		PASS:	0	0	0	0	1111	1111
[5345000]		PASS:	0	0	0	0	1111	1111
[5355000]		PASS:	0	0	0	0	1111	1111
[5365000]		PASS:	1	1	0	0	1111	1111
[5375000]		PASS:	0	0	0	0	1111	1111
[5385000]		PASS:	0	0	0	0	1111	1111
[5395000]		PASS:	0	0	0	0	1111	1111
[5405000]		PASS:	0	0	0	0	1111	1111
[5415000]		PASS:	0	0	0	0	1111	1111
[5425000]		PASS:	0	0	0	0	1111	1111
[5435000]		PASS:	0	0	0	0	1111	1111
[5445000]		PASS:	0	0	0	0	1111	1111
[5455000]		PASS:	0	0	0	0	1111	1111
[5465000]		PASS:	0	0	0	0	1111	1111
[5475000]		PASS:	0	0	0	0	1111	1111
[5485000]		PASS:	0	0	0	0	1111	1111
[5495000]		PASS:	0	0	0	0	1111	1111
[5505000]		PASS:	0	0	0	0	1111	1111
[5515000]		PASS:	0	0	0	0	1111	1111
[5525000]		PASS:	0	0	0	0	1111	1111
[5535000]		PASS:	1	1	0	0	1111	1111
[5545000]		PASS:	0	0	0	0	1111	1111
[5555000]		PASS:	0	0	0	0	1111	1111
